"n_donations","total_donations","time_donating","recent_donation","last_donation","gender","reside","age"
1,310,15,0,4,"M","Urban Domestic",29
3,1200,9,0,6,"M","Rural Domestic",41
3,1200,27,1,11,"M","Urban Domestic",77
2,760,6,1,1,"F","Overseas",66
6,2540,27,0,11,"M","Urban Domestic",26
8,3440,25,1,1,"M","Rural Domestic",65
3,1200,26,0,4,"F","Overseas",60
10,4330,33,0,1,"F","Urban Domestic",50
5,2100,15,1,6,"F","Rural Domestic",82
3,1200,23,0,4,"M","Rural Domestic",41
5,2100,17,1,6,"F","Rural Domestic",72
4,1650,20,0,11,"M","Overseas",57
2,760,6,0,1,"M","Urban Domestic",27
6,2540,17,1,1,"M","Rural Domestic",80
2,760,9,0,11,"M","Rural Domestic",57
3,1200,14,1,11,"F","Overseas",56
4,1650,39,0,11,"F","Urban Domestic",34
14,6120,56,0,11,"F","Rural Domestic",52
2,760,15,0,4,"F","Urban Domestic",39
3,1200,9,1,11,"F","Rural Domestic",66
15,6570,38,0,4,"F","Urban Domestic",61
2,760,18,0,11,"F","Rural Domestic",39
1,310,10,0,11,"F","Rural Domestic",58
8,3440,23,1,6,"F","Rural Domestic",58
5,2100,7,1,6,"M","Urban Domestic",85
3,1200,21,0,11,"F","Rural Domestic",30
2,760,20,0,6,"M","Overseas",37
3,1200,32,0,4,"M","Rural Domestic",31
4,1650,30,0,4,"M","Rural Domestic",42
3,1200,14,0,11,"M","Urban Domestic",26
1,310,2,0,6,"F","Urban Domestic",27
2,760,59,0,4,"F","Rural Domestic",27
2,760,2,1,1,"M","Urban Domestic",82
8,3440,64,0,4,"M","Overseas",46
9,3890,17,1,6,"F","Rural Domestic",27
6,2540,23,0,6,"M","Rural Domestic",36
8,3440,35,1,11,"F","Rural Domestic",85
1,310,9,0,11,"M","Urban Domestic",25
2,760,17,0,11,"F","Urban Domestic",57
15,6570,52,0,6,"F","Overseas",40
2,760,19,0,4,"F","Urban Domestic",32
1,310,9,0,11,"M","Overseas",45
8,3440,19,0,11,"F","Urban Domestic",61
4,1650,10,0,1,"F","Urban Domestic",50
2,760,23,0,4,"M","Urban Domestic",38
2,760,15,0,4,"M","Overseas",29
12,5230,47,1,1,"M","Rural Domestic",62
13,5670,40,0,11,"F","Rural Domestic",60
4,1650,17,0,11,"F","Overseas",36
5,2100,19,0,6,"M","Overseas",60
4,1650,10,0,1,"F","Urban Domestic",39
4,1650,30,0,11,"F","Rural Domestic",61
1,310,15,0,4,"F","Overseas",30
6,2540,18,0,11,"F","Urban Domestic",31
24,10590,43,0,11,"M","Overseas",53
2,760,19,0,4,"F","Rural Domestic",33
3,1200,23,0,11,"M","Rural Domestic",31
3,1200,27,0,4,"F","Overseas",31
6,2540,47,0,4,"F","Overseas",27
2,760,15,0,4,"M","Overseas",52
1,310,2,0,6,"F","Rural Domestic",40
2,760,9,0,11,"F","Rural Domestic",31
1,310,9,0,11,"M","Rural Domestic",56
5,2100,23,0,11,"M","Overseas",26
3,1200,13,1,11,"F","Overseas",55
4,1650,36,0,4,"F","Urban Domestic",23
4,1650,2,0,6,"F","Rural Domestic",59
5,2100,22,1,1,"M","Urban Domestic",60
2,760,2,0,6,"M","Overseas",50
6,2540,20,0,6,"F","Overseas",41
19,8350,42,0,4,"F","Rural Domestic",41
1,310,10,0,11,"F","Rural Domestic",40
3,1200,35,0,6,"M","Urban Domestic",53
2,760,1,0,1,"M","Overseas",39
2,760,35,0,6,"F","Overseas",50
2,760,7,0,1,"M","Rural Domestic",31
7,2990,21,1,1,"F","Overseas",79
1,310,6,0,6,"F","Urban Domestic",33
4,1650,17,0,6,"F","Urban Domestic",46
16,7010,50,0,1,"M","Rural Domestic",54
1,310,9,0,11,"M","Rural Domestic",31
2,760,47,0,11,"F","Rural Domestic",41
4,1650,15,1,11,"M","Overseas",54
1,310,14,0,4,"M","Rural Domestic",44
4,1650,27,0,6,"M","Rural Domestic",30
3,1200,13,0,1,"F","Urban Domestic",32
3,1200,23,0,6,"F","Overseas",60
11,4780,52,0,6,"F","Urban Domestic",59
3,1200,56,0,11,"F","Urban Domestic",51
2,760,40,0,6,"F","Overseas",55
3,1200,17,1,6,"F","Overseas",71
1,310,50,0,12,"M","Urban Domestic",49
6,2540,23,1,11,"F","Rural Domestic",84
3,1200,43,0,4,"F","Overseas",54
1,310,2,1,6,"F","Overseas",81
9,3890,36,0,6,"F","Urban Domestic",44
