"iid","departure_date"
"dad26b9ee392cb7197bc7df941b92e2b",2019-01-31
"e122762138e5e1b1c9cd09d1f3935c13",2019-11-30
"bd3276714f5f60d356309f1533a24920",2019-02-28
"e8edf7a19afb5841a8e6997e467dbfbf",2019-05-31
"b0f5468f305c719192575909563e7ea6",2019-11-30
"86d665dc11c92142b46db64260223cbe",2019-07-31
"27766e11287531c9385c79305f13d6ee",2019-11-30
"06494146f3ddf1689a80379437e3e768",2020-04-30
"a062e1102c9a3ab6c0e162c3e67fa1aa",2019-09-30
"6ef118c83410e340719ac4d2c6254358",2019-06-30
"471c08640258fb1ff207844cee1e586d",2019-07-31
"0e8d68cd73c293a8eeb25582c0fdc74a",2020-05-31
"6e978a5f5d6a74310c8e729c089aa80b",2020-05-31
"50e51942389e4628cf8a840b26f5f712",2019-09-30
"e2054625c38d42ae820ab5e3ee08273a",2020-10-31
"00b302fe3a99951bee9f000cc0204adb",2020-09-30
"f8058a477a0247ffe395705d306a31a8",2019-07-31
"d4e99c7206b9cf031bd5c6c3286d0d94",2019-07-31
"8170a02ff91942c3711b4f519322f1dc",2019-03-31
"650610f17480bb48833ee56930051a6e",2020-10-31
"6c95af8c1d249f5706af2ba64753f013",2019-03-31
"a7d80f56d4c852720b09cb23b375eebd",2020-07-31
"c376c62990d8b56c77844f5369f700fe",2019-11-30
"8485b81d568eaccb0e96c7e717a63167",2019-12-31
"ff1422f9472a20fdb9954792bdd936f1",2019-03-31
"9218e7cd990ee5081b714b2880a83d10",2019-08-31
"d81236a760fc0d5df3ec349b2f3652e5",2019-05-31
"4d49cf46c067f4ed0737572f3b3a9b44",2019-09-30
"5305b408ff3b579153f8a5bf42fa0f98",2020-11-30
"2e42f5f1f993163e535c48afedeb224e",2019-05-31
"7d3061234fdc11bc3ee6112edba8043c",2019-07-31
"45fb7962d3a6501fc7abf3df5f5368a8",2019-06-30
"a6a9a5706c46d1a42fe5d8d3a2eb2a42",2020-05-31
"9f81c1c14c27e6687c7078e88c39d693",2020-10-31
"4a320244b55b8f11e636d1b70e53a018",2019-08-31
"ca16d44dc686edaa260a4c92c987299a",2019-09-30
"2b9566fdf1fa62fc41e7d96c290f12ce",2020-01-31
"19079eeb831e93de98dcbae52de3c2f3",2020-08-31
"7832cbce5fbf8dfe1de33f1b20a6d8a3",2019-07-31
"6f21fa8601165182ba95378c375e4d6f",2020-03-31
"77814cc5095847378f66cd7ba5d58bb0",2020-11-30
"a8b763f485d4a1815e2e98f9f265a213",2020-10-31
"a754f73c0bbc80248c72df702c86900d",2020-12-31
"9ac132f889ac43297b1e04ee1433d195",2020-05-31
"9d968e7256c658e385c2ed65c3f36d11",2019-10-31
"62ea37f118291c99dc79cf9d3fe371ba",2019-07-31
"bbe2323159ebca36dd40f545b07e2714",2020-01-31
"e8717ba0f730cf598d815d057dd6b043",2020-07-31
"0ad97bbb6a3e7e1e280f7f3ca9c748cd",2020-06-30
"c7ef1c6004be0b130de2ad6c2ddc1aba",2020-11-30
"79fe6e2ad1215a44908dc545f2da68f5",2019-10-31
"38a192b1d3fd88c175b664660399d9a4",2020-11-30
"e434bf4c3c4c8f5e403a83688cdb5f57",2020-06-30
"a173b9bc8c6fc3a30e52edb1e153678b",2020-01-31
"4a68dc2d1ee230dd7780fbc58e6e9327",2020-11-30
"d84f9498134953af90cb78cebb17e891",2020-06-30
"989af00972ba5ed0af73c170a7206780",2019-11-30
"6623874c340c38876875275e972b579d",2019-03-31
"271843ef32021753d386263beaa54a9d",2020-09-30
"99e4d505d92bd0bb5b86e9ab5e63623d",2020-03-31
"c1118d8c9c66d1deb14cd0ba2f970b1c",2019-10-31
"ee26a25165c614b54044669f96e54816",2020-05-31
"5e333ba73286c0e2a75090eb2b430e28",2019-05-31
"4ecf015fbab3ec8cc30cab535a913e4e",2019-08-31
"853ceded07c1a3b883ba82cc9e890e22",2020-08-31
"4aad24d1319f2aa788dc9153364a960c",2019-08-31
"7ea458facf955bdfccb1f1d29f7f69f0",2019-11-30
"43c5a9bf0c2b07478ace7afffa842af6",2020-04-30
"63b3fc80a81c100a585772c576aab3d6",2019-05-31
"292aec182d13ef39dbe377b37497c785",2020-02-29
"860d819261da742c888b3d1694f71850",2020-05-31
"a4492f1ecf454bf171ba342a23ba92e5",2020-01-31
"3a4f0126fb934a10e7a584556b725725",2020-11-30
"a0b9cdce3f0ebd0fc0832f03ee66e81f",2019-03-31
"59bfb1c6c1b8a87ce654ff7bba225981",2019-04-30
"b98d9a1dbcdf203da49ad512ed3e1bc6",2020-07-31
"797f3e9b82d1d8cc7df73692cf2ad6cd",2020-12-31
"000f283ae687d31152703a54636492cc",2019-05-31
"109e8043b78e5217c8c4c57346534c6c",2020-04-30
"a8a603207a94ca18d4d3e590478e3be3",2020-05-31
"7b3b00348264c189d0619f00e603b891",2020-06-30
"7c99e5bcb56decd53169e75918527275",2020-03-31
"42db4d0b0dc023bd31c4e95af63b03d5",2019-09-30
"7df491f8b2fd58728de9bcac4cf14526",2019-12-31
"c30180a20431bd512ca5b641eee413f7",2020-11-30
"97f92a8acc5e81bae1d03903853c945c",2019-07-31
"743fa4a070647b249ae8b80f82379a97",2020-09-30
"54deb292d97928c7f6317391ddaebdaa",2020-06-30
"3d1324a42875bbb974c96795e9597d8b",2019-07-31
"b586d857ad1a50aa9a05e6921abd6969",2019-07-31
