"idcode","rec","rel","fun","clar","home","class","fac"
176304,0,3,5,3,4,4,4
176304,0,4,4,5,4,4,1
176304,0,3,4,4,3,4,1
176304,1,4,5,5,4,5,5
176304,0,3,5,5,4,5,4
176304,0,3,5,3,4,2,2
176304,0,4,5,4,5,3,1
176304,0,3,5,3,5,4,3
176304,1,5,4,5,4,4,4
176304,1,4,5,5,4,4,4
176305,0,3,4,2,2,2,3
176305,0,4,3,3,3,3,3
176305,0,3,3,4,3,3,3
176305,1,4,3,4,4,5,2
176305,0,3,4,3,3,4,3
176305,1,3,3,3,4,4,2
176305,1,3,3,3,3,3,2
176305,1,3,3,3,4,3,3
176305,1,4,3,4,4,5,3
176305,1,5,3,5,3,3,2
176306,1,3,5,3,4,3,3
176306,1,3,5,3,4,2,3
176306,0,3,4,3,2,2,2
176306,1,4,3,4,2,4,3
176306,0,3,3,4,3,2,2
176306,0,2,4,1,1,1,2
176306,1,4,4,4,2,3,4
176306,0,3,4,2,4,2,3
176306,1,4,3,4,3,5,3
176306,1,4,5,5,5,4,4
176307,0,3,4,3,4,3,3
176307,0,3,3,3,5,3,2
176307,0,2,3,4,4,4,4
176307,1,4,4,4,4,3,3
176307,0,3,4,3,4,3,3
176307,0,3,4,3,3,3,3
176307,1,4,4,4,4,4,4
176307,0,3,4,3,5,3,4
176307,1,3,3,4,4,3,3
176307,1,4,3,4,4,3,3
176308,1,3,4,3,4,3,3
176308,1,4,4,5,3,4,4
176308,1,3,4,3,4,4,3
176308,1,4,3,3,3,3,3
176308,1,3,4,3,3,4,3
176308,1,3,4,3,3,4,3
176308,1,3,4,3,4,4,3
176308,1,3,3,3,3,3,3
176308,1,4,4,5,4,5,5
176308,1,4,3,4,5,4,4
176310,0,3,5,3,3,NA,2
176310,0,1,1,1,1,NA,1
176310,1,3,5,5,3,NA,3
176310,0,5,5,5,5,NA,1
176310,0,3,4,4,4,NA,1
176310,0,3,5,3,3,NA,1
176310,1,3,5,3,5,NA,1
176310,0,3,3,3,3,NA,3
176310,1,5,5,5,5,5,5
176310,1,5,5,5,4,4,5
176311,0,3,4,4,4,3,3
176311,0,4,4,5,4,3,2
176311,0,4,4,3,4,3,2
176311,0,3,4,4,4,3,2
176311,0,3,4,4,4,3,3
176311,0,4,5,5,4,3,3
176311,0,4,4,4,4,4,3
176311,0,4,4,3,3,3,3
176311,0,3,4,4,4,3,3
176311,0,4,4,4,3,3,2
176312,0,4,4,4,4,3,3
176312,0,4,3,3,3,3,3
176312,0,3,4,3,3,3,2
176312,0,3,3,3,3,3,2
176312,0,3,4,4,3,3,3
176312,0,3,4,3,4,3,3
176312,1,4,5,3,3,3,3
176312,1,4,4,4,3,3,3
176312,1,4,4,4,3,3,3
176312,0,1,1,1,1,1,1
176316,1,4,4,4,4,4,3
176316,1,4,4,3,4,4,3
176316,1,4,3,3,3,3,4
176316,1,3,3,4,4,4,3
176316,0,3,4,4,4,4,4
176316,1,3,3,4,4,4,3
176316,1,4,4,3,3,3,4
176316,1,4,4,4,4,4,3
176316,1,3,3,4,4,4,3
176316,0,NA,4,4,4,4,3
176319,1,4,4,4,4,5,4
176319,1,4,3,5,4,4,4
176319,1,4,4,4,4,4,4
176319,1,4,4,5,5,5,4
176319,1,3,5,5,5,3,4
176319,1,3,4,3,3,3,3
176319,1,5,4,5,5,5,5
176319,1,4,4,5,4,5,4
176319,1,3,3,4,3,3,3
176319,1,4,4,4,3,3,4
176320,0,3,3,3,3,3,3
176320,0,3,3,4,5,4,5
176320,0,3,3,3,4,3,3
176320,0,4,4,4,4,4,4
176320,0,2,5,4,5,3,5
176320,0,4,5,3,5,4,4
