"employee_id","performance_group","yrs_employed","manager_hire","test_score","group_size","concern_flag","mobile_flag","customers","high_hours_flag","transfers","reduced_schedule","city"
"c4578853","Bottom",4.6,"N",205,10,"N","N",12,"N",0,"Y","San Francisco"
"a7d7afd6","Middle",5.3,"N",227,14,"N","Y",18,"N",0,"N","New York"
"272b93f1","Bottom",5.2,"N",227,10,"N","N",12,"N",0,"Y","Chicago"
"be8b6baa","Middle",4.9,"N",273,19,"N","N",26,"Y",0,"N","New York"
"a18ecc4e","Bottom",4.9,"N",227,17,"Y","N",26,"Y",5,"Y","Orlando"
"d665821e","Middle",4.3,"N",159,10,"N","N",18,"N",0,"Y","Orlando"
"18c20092","Middle",4.8,"N",250,13,"N","N",22,"N",0,"N","New York"
"dcc07942","Middle",5,"N",326,13,"N","N",16,"N",3,"N","Toronto"
"d0f9c863","Middle",4.4,"N",152,10,"N","N",20,"Y",0,"Y","Chicago"
"b2724d1d","Middle",4.5,"N",326,11,"N","N",28,"Y",0,"Y","Chicago"
"3ee66efc","Bottom",4,"N",409,11,"N","N",16,"N",2,"N","Toronto"
"5ad93121","Top",4.4,"N",273,11,"N","N",26,"Y",2,"Y","San Francisco"
"df8ea053","Middle",4.7,"N",333,8,"N","N",12,"Y",0,"N","Toronto"
"aac0beb4","Bottom",4.7,"N",250,13,"N","Y",18,"N",2,"Y","San Francisco"
"28ca8384","Bottom",5.1,"N",220,11,"N","Y",24,"N",3,"Y","Orlando"
"91881f0c","Bottom",4.8,"N",273,5,"N","Y",18,"N",0,"N","Toronto"
"863a7a40","Middle",5,"N",205,15,"N","N",20,"Y",0,"N","Toronto"
"5700c368","Bottom",3.8,"N",356,9,"N","N",16,"N",0,"N","Toronto"
"c08d54a7","Bottom",5.3,"N",174,10,"N","Y",18,"N",0,"Y","Toronto"
"6b14f9f8","Middle",4.4,"N",144,11,"N","N",16,"N",2,"N","New York"
"0f2e5ec9","Bottom",5,"N",189,9,"N","Y",20,"N",2,"N","Toronto"
"e9f0029e","Middle",5.2,"N",273,17,"N","N",26,"Y",2,"N","New York"
"2cc30425","Bottom",4.8,"N",159,8,"Y","N",20,"N",0,"N","Toronto"
"fa29684c","Middle",5.2,"N",220,13,"N","N",22,"N",0,"N","New York"
"fccc1bc6","Middle",2.8,"Y",212,10,"N","N",20,"N",0,"Y","San Francisco"
"3c308b87","Middle",4.3,"N",76,8,"N","N",16,"N",0,"N","Toronto"
"927c317d","Middle",5.2,"N",288,11,"Y","N",24,"N",0,"N","New York"
"f6992c92","Middle",4.7,"N",318,13,"N","N",26,"Y",2,"N","Toronto"
"15a8065a","Middle",3.9,"N",121,10,"N","N",14,"N",2,"Y","Houston"
"e947a5a0","Middle",5.6,"N",379,12,"N","N",20,"Y",0,"N","Toronto"
"809f2737","Middle",4.5,"N",280,10,"N","N",16,"N",0,"N","New York"
"1b6e0be9","Bottom",5,"Y",212,7,"Y","Y",22,"Y",0,"N","Toronto"
"152259c9","Middle",4,"N",265,9,"N","Y",22,"N",0,"N","Toronto"
"e7a60e03","Middle",4.9,"N",227,11,"N","N",28,"Y",0,"N","Toronto"
"98780af0","Middle",4.5,"Y",265,21,"N","Y",26,"Y",0,"N","Toronto"
"198e1a78","Middle",4.4,"N",250,10,"N","N",10,"N",0,"N","Toronto"
"94b28814","Bottom",4.2,"N",258,13,"N","Y",14,"N",2,"Y","San Francisco"
"82bf75f4","Middle",4.8,"N",295,15,"N","N",22,"N",0,"Y","Toronto"
"dde1999b","Middle",4.9,"N",152,8,"N","N",20,"N",0,"Y","Orlando"
"bd1fd772","Middle",4.7,"N",182,11,"N","N",24,"N",0,"N","Toronto"
"5f32922b","Middle",3.9,"N",220,13,"N","N",20,"N",0,"N","New York"
"8e130c8f","Middle",4.3,"N",242,12,"N","N",22,"N",0,"Y","Houston"
"acfde6d2","Bottom",5.3,"N",136,11,"N","N",12,"N",0,"N","Toronto"
"1c2e4596","Middle",4.9,"N",303,9,"Y","N",18,"Y",0,"Y","Houston"
"98f131d7","Middle",4.2,"N",341,10,"N","N",16,"N",0,"N","Toronto"
"830d00c3","Middle",4.3,"N",424,17,"N","N",20,"Y",0,"N","New York"
"65a9dfdd","Bottom",4.5,"N",235,8,"N","Y",14,"N",0,"N","Toronto"
"f15a18ce","Middle",4.8,"N",167,11,"N","Y",16,"N",2,"Y","Houston"
"4c9b3876","Middle",4.6,"N",409,9,"Y","N",18,"N",0,"N","New York"
"52204196","Middle",5.2,"N",205,11,"N","N",16,"N",0,"Y","Chicago"
"5acf99c0","Middle",4.9,"N",265,17,"N","N",20,"Y",2,"N","New York"
"c444de08","Bottom",4.6,"N",182,10,"N","N",28,"N",0,"N","Toronto"
"70d7c0fd","Bottom",4.9,"Y",220,13,"N","N",20,"N",0,"N","Toronto"
"9123572e","Top",4,"N",212,10,"N","N",14,"N",0,"N","Toronto"
"e10c2095","Middle",5.3,"N",167,12,"N","Y",22,"Y",2,"N","New York"
