"promoted","sales","customer_rate","performance"
0,940,3.94,"2"
0,668,4.06,"3"
1,586,3.83,"4"
0,831,3.62,"2"
1,559,4.4,"3"
1,913,4.54,"2"
0,450,3.09,"3"
0,531,4.89,"1"
0,504,3.74,"3"
0,586,3,"3"
0,804,2.43,"3"
1,640,3.16,"3"
0,886,3.51,"2"
0,695,3.21,"3"
0,477,3.02,"2"
0,559,3.87,"3"
0,368,2.49,"1"
0,477,2.66,"4"
0,613,3.14,"2"
1,940,5,"2"
1,613,3.53,"4"
0,722,4.24,"2"
0,831,4.47,"2"
0,504,3.6,"1"
1,777,4.45,"2"
1,668,3.94,"4"
0,477,2.54,"2"
0,368,4.06,"1"
0,477,4.47,"2"
1,640,2.98,"2"
0,749,3.48,"2"
0,749,3.74,"1"
0,313,2.47,"4"
1,777,3.32,"3"
0,613,3.53,"2"
1,668,2.66,"3"
1,722,4.89,"3"
0,640,3.62,"1"
1,940,4.4,"4"
0,804,2.56,"3"
0,586,3.34,"4"
0,368,2.56,"2"
1,940,4.31,"4"
0,777,3.02,"3"
0,477,2.86,"3"
0,586,2.98,"4"
0,722,3.39,"3"
0,559,2.36,"2"
1,259,2.33,"3"
1,504,1.94,"3"
1,477,4.17,"4"
0,613,3.07,"4"
0,668,3,"3"
0,668,3.62,"2"
0,531,3.92,"1"
0,640,3.85,"3"
1,804,5,"4"
0,586,4.49,"1"
1,695,3.74,"3"
0,668,4.75,"2"
1,749,4.89,"3"
0,695,4.15,"2"
1,695,5,"4"
1,613,4.29,"2"
0,640,4.29,"4"
0,804,3.74,"2"
0,722,2.22,"3"
0,722,3.57,"2"
0,831,3.74,"1"
0,395,3.41,"2"
0,504,3.71,"2"
0,450,2.15,"3"
0,831,3.41,"4"
0,559,2.01,"2"
0,858,4.4,"1"
1,504,4.03,"4"
1,777,4.66,"2"
0,640,3.62,"3"
0,613,3.69,"2"
0,804,4.2,"3"
1,749,4.15,"3"
0,940,5,"1"
0,668,3.21,"4"
