"annual_income_ppp","average_wk_hrs","education_months","region","job_type","gender","family_size","work_distance","languages"
66417,50,157,"Southern Asia","Unskilled","F",5,3,1
55124,50,156,"Southern Asia","Unskilled","F",5,0,1
55124,50,155,"Southern Asia","Unskilled","F",5,3,1
54238,50,154,"Southern Asia","Unskilled","F",5,0,1
53573,50,150,"Southern Asia","Unskilled","F",4,0,1
52688,51,147,"Southern Asia","Unskilled","F",5,0,1
52245,51,143,"Southern Asia","Unskilled","F",5,0,1
51138,51,141,"Southern Asia","Unskilled","F",5,0,1
49810,51,137,"Southern Asia","Unskilled","F",4,2,1
49367,51,134,"Southern Asia","Unskilled","F",4,0,1
49367,51,132,"Southern Asia","Unskilled","F",5,0,1
48702,51,119,"Southern Asia","Unskilled","F",5,2,1
48038,52,115,"Southern Asia","Unskilled","F",5,0,1
46930,52,112,"Southern Asia","Unskilled","F",4,2,1
44937,52,108,"Southern Asia","Unskilled","F",4,0,1
43830,52,104,"Southern Asia","Unskilled","F",5,0,1
94763,39,205,"Southern Europe","Unskilled","M",3,0,1
94098,39,205,"Southern Europe","Unskilled","M",3,0,1
93434,39,205,"Southern Europe","Unskilled","M",3,0,1
92769,39,205,"Southern Europe","Unskilled","M",3,0,1
92104,39,194,"Southern Europe","Unskilled","M",3,0,1
91219,40,185,"Southern Europe","Unskilled","M",3,0,1
90998,40,181,"Southern Europe","Unskilled","M",3,0,1
89226,40,179,"Southern Europe","Unskilled","M",3,0,1
90555,40,174,"Southern Europe","Unskilled","M",3,0,1
86790,54,172,"Southern Europe","Unskilled","M",3,0,1
85241,41,165,"Southern Europe","Unskilled","M",3,0,1
84133,41,166,"Southern Europe","Unskilled","M",4,0,1
83690,41,164,"Southern Europe","Unskilled","M",3,0,1
84798,42,164,"Southern Europe","Unskilled","M",4,0,1
85462,42,163,"Southern Europe","Unskilled","M",3,0,1
83247,42,164,"Southern Europe","Unskilled","M",3,0,1
89890,38,207,"Northern Africa","Unskilled","M",NA,3,1
89447,38,207,"Northern Africa","Unskilled","M",4,3,1
89226,39,207,"Northern Africa","Unskilled","M",4,3,1
88783,39,207,"Northern Africa","Unskilled","M",3,3,1
88341,39,202,"Northern Africa","Unskilled","M",3,3,1
87898,40,198,"Northern Africa","Unskilled","M",3,3,1
87233,40,192,"Northern Africa","Unskilled","M",3,0,1
86569,40,186,"Northern Africa","Unskilled","M",2,0,1
85904,54,183,"Northern Africa","Unskilled","M",2,0,1
85019,41,183,"Northern Africa","Unskilled","M",2,3,1
83912,41,179,"Northern Africa","Unskilled","M",2,3,1
82582,41,176,"Northern Africa","Unskilled","M",2,0,1
81254,42,173,"Northern Africa","Unskilled","M",2,0,1
81033,42,169,"Northern Africa","Unskilled","M",2,0,1
80590,42,166,"Northern Africa","Unskilled","M",2,3,1
80368,42,164,"Northern Africa","Unskilled","M",2,0,1
38515,49,172,"Sub-Saharan Africa","Unskilled","M",NA,0,1
36965,49,172,"Sub-Saharan Africa","Unskilled","M",2,0,1
35637,49,172,"Sub-Saharan Africa","Unskilled","M",2,0,1
46488,49,159,"Sub-Saharan Africa","Unskilled","M",2,0,1
35415,49,149,"Sub-Saharan Africa","Unskilled","F",2,2,1
32315,55,144,"Sub-Saharan Africa","Unskilled","F",2,2,1
31208,50,139,"Sub-Saharan Africa","Unskilled","F",2,2,1
30323,50,134,"Sub-Saharan Africa","Unskilled","F",2,0,1
29215,50,129,"Sub-Saharan Africa","Unskilled","F",2,0,1
28107,50,123,"Sub-Saharan Africa","Unskilled","F",2,0,1
27443,50,119,"Sub-Saharan Africa","Unskilled","F",2,2,1
26779,50,114,"Sub-Saharan Africa","Unskilled","F",3,2,1
26115,51,108,"Sub-Saharan Africa","Unskilled","F",2,0,1
25450,51,104,"Sub-Saharan Africa","Unskilled","F",2,1,1
23679,51,99,"Sub-Saharan Africa","Unskilled","F",3,1,1
22793,51,93,"Sub-Saharan Africa","Unskilled","F",1,0,1
91662,42,201,"Latin America and the Caribbean","Unskilled","M",NA,NA,NA
91219,42,201,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
90998,42,201,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
90555,42,200,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
90112,42,203,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
89890,42,203,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
89447,43,205,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
89004,43,207,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
88562,43,208,"Latin America and the Caribbean","Unskilled","M",2,NA,NA
88119,43,210,"Latin America and the Caribbean","Unskilled","M",2,NA,NA
87676,43,40,"Latin America and the Caribbean","Unskilled","F",2,NA,NA
