"iid","gender","match","samerace","race","goal","dec","attr","intel","prob","met","agediff"
1,0,0,0,4,2,1,6,7,6,2,6
1,0,0,0,4,2,1,7,7,5,1,1
1,0,1,1,4,2,1,5,9,NA,1,1
1,0,1,0,4,2,1,7,8,6,2,2
1,0,1,0,4,2,1,5,7,6,2,3
1,0,0,0,4,2,0,4,7,5,2,4
1,0,0,0,4,2,1,7,7,5,2,9
1,0,0,0,4,2,0,4,7,7,NA,6
1,0,1,0,4,2,1,7,8,7,2,7
1,0,0,0,4,2,1,5,6,6,2,3
2,0,0,1,2,1,0,5,8,4,2,3
2,0,0,1,2,1,0,8,6,3,2,2
2,0,0,0,2,1,0,5,9,7,2,2
2,0,1,1,2,1,1,7,7,8,2,1
2,0,0,0,2,1,0,6,7,6,1,0
2,0,0,1,2,1,0,8,8,5,2,1
2,0,0,1,2,1,1,7,9,7,2,6
2,0,0,1,2,1,0,5,7,6,2,3
2,0,1,1,2,1,1,7,8,6,2,4
2,0,0,1,2,1,1,6,8,7,2,0
3,0,0,1,2,6,0,7,10,7,1,2
3,0,0,1,2,6,0,9,9,7,2,3
3,0,0,0,2,6,0,7,9,7,2,3
3,0,0,1,2,6,0,9,9,7,2,2
3,0,0,0,2,6,0,9,10,NA,2,1
3,0,0,1,2,6,0,8,10,NA,2,0
3,0,0,1,2,6,0,8,10,7,2,5
3,0,0,1,2,6,0,7,9,7,2,2
3,0,0,1,2,6,0,9,9,7,2,3
3,0,0,1,2,6,0,8,9,7,2,1
4,0,0,1,2,1,0,4,8,7,2,4
4,0,0,1,2,1,0,8,8,1,1,1
4,0,0,0,2,1,0,4,8,1,2,1
4,0,1,1,2,1,1,8,7,10,1,0
4,0,0,0,2,1,0,6,8,7,2,1
4,0,0,1,2,1,0,5,8,3,2,2
4,0,0,1,2,1,0,7,10,1,2,7
4,0,0,1,2,1,0,5,9,6,2,4
4,0,1,1,2,1,1,9,10,8,2,5
4,0,0,1,2,1,1,8,10,8,2,1
5,0,0,1,2,2,0,5,8,5,2,6
5,0,0,1,2,2,0,8,6,4,1,1
5,0,0,0,2,2,0,4,8,5,1,1
5,0,1,1,2,2,1,8,5,2,1,2
5,0,0,0,2,2,0,6,7,4,2,3
5,0,0,1,2,2,1,5,7,3,2,4
5,0,0,1,2,2,1,6,8,3,2,9
5,0,0,1,2,2,1,5,7,4,2,6
5,0,1,1,2,2,1,7,7,4,2,7
5,0,0,1,2,2,1,9,7,3,2,3
6,0,0,0,4,1,1,6,7,6,2,4
6,0,0,0,4,1,1,6,9,6,2,1
6,0,0,1,4,1,0,4,9,2,1,1
6,0,1,0,4,1,1,8,7,4,2,0
6,0,0,0,4,1,0,5,8,3,1,1
6,0,0,0,4,1,0,3,6,2,2,2
6,0,0,0,4,1,1,8,8,7,2,7
6,0,0,0,4,1,0,4,9,5,2,4
6,0,1,0,4,1,1,7,8,6,2,5
6,0,0,0,4,1,1,8,9,8,2,1
7,0,0,0,4,1,0,4,8,4,2,5
7,0,0,0,4,1,0,6,8,3,1,0
7,0,0,1,4,1,0,3,8,8,1,0
7,0,1,0,4,1,1,7,8,6,1,1
7,0,0,0,4,1,0,4,7,6,1,2
7,0,0,0,4,1,0,4,7,5,2,3
7,0,0,0,4,1,1,7,8,7,2,8
7,0,0,0,4,1,0,5,8,7,2,5
7,0,1,0,4,1,1,6,8,6,2,6
7,0,0,0,4,1,1,8,7,5,2,2
8,0,0,1,2,1,1,5,7,5,2,2
8,0,1,1,2,1,1,8,7,7,2,3
8,0,1,0,2,1,1,5,8,5,2,3
8,0,1,1,2,1,1,8,5,6,2,2
8,0,1,0,2,1,1,6,8,5,2,1
8,0,1,1,2,1,1,6,8,5,2,0
8,0,0,1,2,1,1,6,8,6,2,5
8,0,1,1,2,1,1,5,7,4,2,2
8,0,1,1,2,1,1,8,5,10,2,3
8,0,1,1,2,1,1,7,8,7,2,1
9,0,0,0,6,1,1,8,9,5,2,1
9,0,1,0,6,1,1,10,10,5,2,4
9,0,1,0,6,1,1,5,10,5,2,4
9,0,1,0,6,1,1,10,8,5,2,3
9,0,1,0,6,1,1,5,8,5,2,2
9,0,1,0,6,1,1,8,9,5,2,1
9,0,1,0,6,1,1,6,9,5,2,4
9,0,0,0,6,1,1,6,8,5,2,1
9,0,1,0,6,1,1,8,5,6,2,2
9,0,0,0,6,1,1,7,7,5,2,2
10,0,0,1,2,2,0,6,10,3,2,1
10,0,0,1,2,2,0,1,1,1,1,4
10,0,1,0,2,2,1,6,10,6,2,4
10,0,0,1,2,2,0,10,10,1,1,3
10,0,0,0,2,2,0,5,7,1,2,2
10,0,0,1,2,2,0,5,6,1,2,1
10,0,0,1,2,2,1,5,8,1,2,4
10,0,0,1,2,2,0,5,6,5,2,1
10,0,1,1,2,2,1,9,9,9,2,2
10,0,0,1,2,2,1,9,8,10,2,2
11,1,0,0,2,1,0,6,8,4,2,6
11,1,0,1,2,1,0,8,6,2,2,3
11,1,0,1,2,1,0,7,6,2,1,2
11,1,0,1,2,1,0,6,8,3,2,4
11,1,0,1,2,1,0,6,8,5,2,6
11,1,0,0,2,1,0,7,8,4,2,4
11,1,0,0,2,1,0,7,8,4,2,5
11,1,0,1,2,1,0,8,6,4,2,2
11,1,0,0,2,1,0,6,7,4,2,1
11,1,0,1,2,1,0,7,7,3,2,1
12,1,0,0,2,1,0,7,10,4,2,1
12,1,0,1,2,1,0,7,10,4,2,2
12,1,0,1,2,1,0,6,10,3,2,3
12,1,0,1,2,1,0,6,10,3,1,1
12,1,0,1,2,1,0,6,10,4,1,1
12,1,0,0,2,1,0,6,10,4,2,1
12,1,0,0,2,1,1,7,10,4,1,0
12,1,1,1,2,1,1,8,10,4,2,3
12,1,1,0,2,1,1,8,10,4,2,4
12,1,0,1,2,1,0,1,1,1,2,4
13,1,1,1,4,2,1,10,10,10,1,1
13,1,0,0,4,2,1,10,10,10,2,2
