"n_donations","total_donations","time_donating","recent_donation","last_donation","gender","reside","age"
2,310,27,0,4,"M","Urban Domestic",29
3,1200,22,0,6,"M","Rural Domestic",41
3,1200,37,1,11,"M","Urban Domestic",77
2,760,19,1,1,"F","Overseas",66
6,2540,37,0,11,"M","Urban Domestic",26
8,3440,35,1,1,"M","Rural Domestic",65
3,1200,36,0,4,"F","Overseas",60
10,4330,42,0,1,"F","Urban Domestic",50
5,2100,27,1,6,"F","Rural Domestic",82
3,1200,34,0,4,"M","Rural Domestic",41
5,2100,29,1,6,"F","Rural Domestic",72
4,1650,31,0,11,"M","Overseas",57
2,760,19,0,1,"M","Urban Domestic",27
6,2540,29,1,1,"M","Rural Domestic",80
2,760,22,0,11,"M","Rural Domestic",57
3,1200,26,1,11,"F","Overseas",56
4,1650,47,0,11,"F","Urban Domestic",34
14,6120,62,0,11,"F","Rural Domestic",52
2,760,27,0,4,"F","Urban Domestic",39
3,1200,22,1,11,"F","Rural Domestic",66
15,6570,46,0,4,"F","Urban Domestic",61
2,760,29,0,11,"F","Rural Domestic",39
2,310,23,0,11,"F","Rural Domestic",58
8,3440,34,1,6,"F","Rural Domestic",58
5,2100,20,1,6,"M","Urban Domestic",85
3,1200,32,0,11,"F","Rural Domestic",30
2,760,31,0,6,"M","Overseas",37
3,1200,41,0,4,"M","Rural Domestic",31
4,1650,40,0,4,"M","Rural Domestic",42
3,1200,26,0,11,"M","Urban Domestic",26
2,310,16,0,6,"F","Urban Domestic",27
2,760,64,0,4,"F","Rural Domestic",27
2,760,16,1,1,"M","Urban Domestic",82
8,3440,68,0,4,"M","Overseas",46
9,3890,29,1,6,"F","Rural Domestic",27
6,2540,34,0,6,"M","Rural Domestic",36
8,3440,44,1,11,"F","Rural Domestic",85
2,310,22,0,11,"M","Urban Domestic",25
2,760,29,0,11,"F","Urban Domestic",57
15,6570,58,0,6,"F","Overseas",40
2,760,30,0,4,"F","Urban Domestic",32
2,310,22,0,11,"M","Overseas",45
8,3440,30,0,11,"F","Urban Domestic",61
4,1650,23,0,1,"F","Urban Domestic",50
2,760,34,0,4,"M","Urban Domestic",38
2,760,27,0,4,"M","Overseas",29
12,5230,54,1,1,"M","Rural Domestic",62
13,5670,48,0,11,"F","Rural Domestic",60
4,1650,29,0,11,"F","Overseas",36
5,2100,30,0,6,"M","Overseas",60
4,1650,23,0,1,"F","Urban Domestic",39
4,1650,40,0,11,"F","Rural Domestic",61
2,310,27,0,4,"F","Overseas",30
6,2540,29,0,11,"F","Urban Domestic",31
24,10590,51,0,11,"M","Overseas",53
2,760,30,0,4,"F","Rural Domestic",33
3,1200,34,0,11,"M","Rural Domestic",31
3,1200,37,0,4,"F","Overseas",31
6,2540,54,0,4,"F","Overseas",27
2,760,27,0,4,"M","Overseas",52
2,310,16,0,6,"F","Rural Domestic",40
2,760,22,0,11,"F","Rural Domestic",31
2,310,22,0,11,"M","Rural Domestic",56
5,2100,34,0,11,"M","Overseas",26
3,1200,25,1,11,"F","Overseas",55
4,1650,45,0,4,"F","Urban Domestic",23
4,1650,16,0,6,"F","Rural Domestic",59
5,2100,33,1,1,"M","Urban Domestic",60
2,760,16,0,6,"M","Overseas",50
6,2540,31,0,6,"F","Overseas",41
19,8350,50,0,4,"F","Rural Domestic",41
2,310,23,0,11,"F","Rural Domestic",40
3,1200,44,0,6,"M","Urban Domestic",53
2,760,15,0,1,"M","Overseas",39
2,760,44,0,6,"F","Overseas",50
2,760,20,0,1,"M","Rural Domestic",31
7,2990,32,1,1,"F","Overseas",79
2,310,19,0,6,"F","Urban Domestic",33
4,1650,29,0,6,"F","Urban Domestic",46
16,7010,56,0,1,"M","Rural Domestic",54
2,310,22,0,11,"M","Rural Domestic",31
2,760,54,0,11,"F","Rural Domestic",41
4,1650,27,1,11,"M","Overseas",54
2,310,26,0,4,"M","Rural Domestic",44
4,1650,37,0,6,"M","Rural Domestic",30
3,1200,25,0,1,"F","Urban Domestic",32
3,1200,34,0,6,"F","Overseas",60
11,4780,58,0,6,"F","Urban Domestic",59
3,1200,62,0,11,"F","Urban Domestic",51
2,760,48,0,6,"F","Overseas",55
3,1200,29,1,6,"F","Overseas",71
2,310,56,0,12,"M","Urban Domestic",49
6,2540,34,1,11,"F","Rural Domestic",84
3,1200,51,0,4,"F","Overseas",54
2,310,16,1,6,"F","Overseas",81
9,3890,45,0,6,"F","Urban Domestic",44
2,760,20,0,1,"M","Urban Domestic",24
5,2100,43,1,6,"F","Rural Domestic",50
13,5670,36,1,6,"F","Rural Domestic",69
2,760,22,0,11,"F","Overseas",56
14,6120,41,1,1,"M","Rural Domestic",57
7,2990,57,0,1,"F","Urban Domestic",33
9,3890,44,0,6,"F","Urban Domestic",27
4,1650,34,0,1,"M","Overseas",28
2,760,30,0,6,"M","Overseas",32
8,3440,29,0,11,"F","Rural Domestic",56
6,2540,22,0,6,"M","Overseas",47
2,760,29,0,4,"F","Rural Domestic",58
11,4780,30,0,1,"M","Urban Domestic",55
44,19530,70,0,1,"F","Overseas",35
3,1200,16,1,1,"F","Rural Domestic",59
11,4780,37,0,11,"M","Overseas",44
2,760,26,1,4,"F","Rural Domestic",80
2,310,16,1,6,"M","Rural Domestic",77
2,760,19,1,6,"F","Urban Domestic",65
4,1650,29,0,11,"F","Rural Domestic",35
7,2990,51,0,11,"M","Urban Domestic",47
9,3890,30,0,6,"F","Urban Domestic",40
6,2540,39,0,6,"M","Overseas",48
9,3890,35,1,6,"F","Urban Domestic",57
6,2540,56,0,1,"M","Urban Domestic",48
