"promoted","sales","customer_rate","performance"
0,594,3.94,2
0,446,4.06,3
1,674,3.83,4
0,525,3.62,2
1,657,4.4,3
1,918,4.54,2
0,318,3.09,3
0,364,4.89,1
0,342,3.74,3
0,387,3,3
0,527,2.43,3
1,716,3.16,3
0,557,3.51,2
0,450,3.21,3
0,344,3.02,2
0,372,3.87,3
0,258,2.49,1
0,338,2.66,4
0,410,3.14,2
1,937,5,2
1,702,3.53,4
0,469,4.24,2
0,535,4.47,2
0,342,3.6,1
1,819,4.45,2
1,736,3.94,4
0,330,2.54,2
0,274,4.06,1
0,341,4.47,2
1,717,2.98,2
0,478,3.48,2
0,487,3.74,1
0,239,2.47,4
1,825,3.32,3
0,400,3.53,2
1,728,2.66,3
1,773,4.89,3
0,425,3.62,1
1,943,4.4,4
0,510,2.56,3
0,389,3.34,4
0,270,2.56,2
1,945,4.31,4
0,497,3.02,3
0,329,2.86,3
0,389,2.98,4
0,475,3.39,3
0,383,2.36,2
1,432,2.33,3
1,619,1.94,3
1,578,4.17,4
0,411,3.07,4
0,445,3,3
0,440,3.62,2
0,359,3.92,1
0,419,3.85,3
1,840,5,4
0,393,4.49,1
1,754,3.74,3
0,441,4.75,2
1,803,4.89,3
0,444,4.15,2
1,753,5,4
1,688,4.29,2
0,431,4.29,4
0,511,3.74,2
0,464,2.22,3
0,473,3.57,2
0,532,3.74,1
0,280,3.41,2
0,342,3.71,2
0,320,2.15,3
0,531,3.41,4
0,373,2.01,2
0,547,4.4,1
1,611,4.03,4
1,825,4.66,2
0,431,3.62,3
0,401,3.69,2
0,517,4.2,3
1,803,4.15,3
0,586,5,1
0,444,3.21,4
1,693,3.8,3
1,659,4.2,1
0,416,3.87,3
0,423,2.75,3
1,756,3.55,4
0,245,2.52,2
0,419,3.76,2
1,757,3.11,3
1,617,4.33,1
1,909,3.21,3
0,516,2.47,1
0,317,1.51,1
0,425,3.53,3
0,528,4.63,2
0,416,3.37,1
1,645,4.08,2
0,390,3.16,4
0,393,3.76,1
0,394,3.07,2
0,387,3.87,3
0,450,3.62,3
0,487,3.46,3
1,607,2.49,4
0,369,2.22,1
0,489,4.98,2
0,324,3.05,3
0,417,4.47,1
1,694,1.9,2
1,651,5,4
0,395,3.46,2
0,442,2.29,1
0,422,4.54,3
0,404,4.06,3
0,381,3.37,4
0,501,4.77,4
1,944,5,2
1,753,4.43,3
0,591,4.93,4
1,735,4.03,4
1,538,3.05,3
0,451,4.49,2
0,477,3.87,3
0,436,4.13,2
1,738,3.05,3
1,902,5,4
0,464,3.9,1
1,944,3.92,4
0,285,3.53,3
0,453,4.68,2
0,382,3.51,2
0,414,2.03,2
0,335,3.71,3
1,935,5,3
0,203,2.72,2
0,348,5,3
1,800,4.24,2
0,436,3.51,3
0,360,3.23,1
1,674,4.47,3
0,425,2.43,3
1,901,2.7,3
0,453,4.98,2
0,350,3,3
0,362,2.89,2
0,486,3.41,1
0,471,4.38,2
0,459,5,3
0,506,5,3
0,262,2.7,2
1,825,4.95,3
0,291,2.54,2
1,464,2.7,3
1,802,3.78,2
1,818,4.24,3
1,736,3.78,3
0,364,4.01,3
0,308,4.82,1
1,862,4.17,4
0,349,1.67,4
0,375,3.05,2
0,423,2.54,3
1,938,3.69,3
0,456,2.91,1
0,517,5,2
0,373,2.93,1
1,898,2.26,4
1,777,4.86,3
0,470,4.84,3
0,545,3.94,4
1,699,2.66,4
1,697,4.06,3
0,300,1.94,2
1,677,4.63,3
0,497,3.14,1
1,669,4.56,4
1,596,4.98,2
0,492,4.24,3
0,346,2.2,2
1,590,4.17,2
0,592,2.2,3
1,780,4.15,4
0,432,4.15,2
0,418,4.01,2
1,662,4.56,4
1,678,4.49,3
1,716,3.44,3
0,330,3.05,1
0,414,3.83,1
0,416,2.79,2
0,403,2.75,1
0,362,2.03,3
0,284,4.2,3
0,363,4.72,1
1,655,3.39,3
0,597,4.08,3
1,794,3.83,3
1,818,2.7,1
0,409,3.44,1
1,681,3.97,1
1,606,1.83,3
0,489,4.47,2
0,475,4.56,3
0,590,4.43,3
0,396,4.86,2
0,420,5,2
1,857,3.85,2
0,371,2.77,2
0,421,3.39,3
1,828,1.37,4
0,594,3.05,1
0,533,4.86,2
0,462,2.98,2
0,392,3.85,3
0,475,3.83,3
1,752,4.89,2
1,659,1.97,2
1,650,3.14,2
0,496,4.31,3
0,211,2.52,1
1,898,3.51,3
0,388,2.54,1
0,383,2.47,2
0,455,2.36,3
0,319,3.21,4
1,756,3.09,3
0,377,2.08,3
1,940,2.82,3
1,757,3.55,3
0,469,3.85,3
0,394,3.57,1
0,484,2.86,2
0,491,3.44,4
0,547,5,2
0,519,3.34,4
1,739,3.99,3
0,479,4.06,2
1,943,3.21,4
1,742,4.17,2
