"iid","gender","match","samerace","race","goal","dec","attr","intel","prob","agediff"
1,0,0,0,4,2,1,6,7,6,6
1,0,0,0,4,2,1,7,7,5,1
1,0,1,1,4,2,1,5,9,NA,1
1,0,1,0,4,2,1,7,8,6,2
1,0,1,0,4,2,1,5,7,6,3
1,0,0,0,4,2,0,4,7,5,4
1,0,0,0,4,2,1,7,7,5,9
1,0,0,0,4,2,0,4,7,7,6
1,0,1,0,4,2,1,7,8,7,7
1,0,0,0,4,2,1,5,6,6,3
2,0,0,1,2,1,0,5,8,4,3
2,0,0,1,2,1,0,8,6,3,2
2,0,0,0,2,1,0,5,9,7,2
2,0,1,1,2,1,1,7,7,8,1
2,0,0,0,2,1,0,6,7,6,0
2,0,0,1,2,1,0,8,8,5,1
2,0,0,1,2,1,1,7,9,7,6
2,0,0,1,2,1,0,5,7,6,3
2,0,1,1,2,1,1,7,8,6,4
2,0,0,1,2,1,1,6,8,7,0
3,0,0,1,2,6,0,7,10,7,2
3,0,0,1,2,6,0,9,9,7,3
3,0,0,0,2,6,0,7,9,7,3
3,0,0,1,2,6,0,9,9,7,2
3,0,0,0,2,6,0,9,10,NA,1
3,0,0,1,2,6,0,8,10,NA,0
3,0,0,1,2,6,0,8,10,7,5
3,0,0,1,2,6,0,7,9,7,2
3,0,0,1,2,6,0,9,9,7,3
3,0,0,1,2,6,0,8,9,7,1
4,0,0,1,2,1,0,4,8,7,4
4,0,0,1,2,1,0,8,8,1,1
4,0,0,0,2,1,0,4,8,1,1
4,0,1,1,2,1,1,8,7,10,0
4,0,0,0,2,1,0,6,8,7,1
4,0,0,1,2,1,0,5,8,3,2
4,0,0,1,2,1,0,7,10,1,7
4,0,0,1,2,1,0,5,9,6,4
4,0,1,1,2,1,1,9,10,8,5
4,0,0,1,2,1,1,8,10,8,1
5,0,0,1,2,2,0,5,8,5,6
5,0,0,1,2,2,0,8,6,4,1
5,0,0,0,2,2,0,4,8,5,1
5,0,1,1,2,2,1,8,5,2,2
5,0,0,0,2,2,0,6,7,4,3
5,0,0,1,2,2,1,5,7,3,4
5,0,0,1,2,2,1,6,8,3,9
5,0,0,1,2,2,1,5,7,4,6
5,0,1,1,2,2,1,7,7,4,7
5,0,0,1,2,2,1,9,7,3,3
6,0,0,0,4,1,1,6,7,6,4
6,0,0,0,4,1,1,6,9,6,1
6,0,0,1,4,1,0,4,9,2,1
6,0,1,0,4,1,1,8,7,4,0
6,0,0,0,4,1,0,5,8,3,1
6,0,0,0,4,1,0,3,6,2,2
6,0,0,0,4,1,1,8,8,7,7
6,0,0,0,4,1,0,4,9,5,4
6,0,1,0,4,1,1,7,8,6,5
6,0,0,0,4,1,1,8,9,8,1
7,0,0,0,4,1,0,4,8,4,5
7,0,0,0,4,1,0,6,8,3,0
7,0,0,1,4,1,0,3,8,8,0
7,0,1,0,4,1,1,7,8,6,1
7,0,0,0,4,1,0,4,7,6,2
7,0,0,0,4,1,0,4,7,5,3
7,0,0,0,4,1,1,7,8,7,8
7,0,0,0,4,1,0,5,8,7,5
7,0,1,0,4,1,1,6,8,6,6
7,0,0,0,4,1,1,8,7,5,2
8,0,0,1,2,1,1,5,7,5,2
8,0,1,1,2,1,1,8,7,7,3
8,0,1,0,2,1,1,5,8,5,3
8,0,1,1,2,1,1,8,5,6,2
8,0,1,0,2,1,1,6,8,5,1
8,0,1,1,2,1,1,6,8,5,0
8,0,0,1,2,1,1,6,8,6,5
8,0,1,1,2,1,1,5,7,4,2
8,0,1,1,2,1,1,8,5,10,3
8,0,1,1,2,1,1,7,8,7,1
9,0,0,0,6,1,1,8,9,5,1
9,0,1,0,6,1,1,10,10,5,4
9,0,1,0,6,1,1,5,10,5,4
9,0,1,0,6,1,1,10,8,5,3
9,0,1,0,6,1,1,5,8,5,2
9,0,1,0,6,1,1,8,9,5,1
9,0,1,0,6,1,1,6,9,5,4
9,0,0,0,6,1,1,6,8,5,1
9,0,1,0,6,1,1,8,5,6,2
9,0,0,0,6,1,1,7,7,5,2
10,0,0,1,2,2,0,6,10,3,1
10,0,0,1,2,2,0,1,1,1,4
10,0,1,0,2,2,1,6,10,6,4
10,0,0,1,2,2,0,10,10,1,3
10,0,0,0,2,2,0,5,7,1,2
10,0,0,1,2,2,0,5,6,1,1
10,0,0,1,2,2,1,5,8,1,4
10,0,0,1,2,2,0,5,6,5,1
10,0,1,1,2,2,1,9,9,9,2
10,0,0,1,2,2,1,9,8,10,2
11,1,0,0,2,1,0,6,8,4,6
11,1,0,1,2,1,0,8,6,2,3
11,1,0,1,2,1,0,7,6,2,2
11,1,0,1,2,1,0,6,8,3,4
11,1,0,1,2,1,0,6,8,5,6
11,1,0,0,2,1,0,7,8,4,4
11,1,0,0,2,1,0,7,8,4,5
11,1,0,1,2,1,0,8,6,4,2
11,1,0,0,2,1,0,6,7,4,1
11,1,0,1,2,1,0,7,7,3,1
12,1,0,0,2,1,0,7,10,4,1
12,1,0,1,2,1,0,7,10,4,2
12,1,0,1,2,1,0,6,10,3,3
12,1,0,1,2,1,0,6,10,3,1
12,1,0,1,2,1,0,6,10,4,1
12,1,0,0,2,1,0,6,10,4,1
12,1,0,0,2,1,1,7,10,4,0
12,1,1,1,2,1,1,8,10,4,3
12,1,1,0,2,1,1,8,10,4,4
12,1,0,1,2,1,0,1,1,1,4
13,1,1,1,4,2,1,10,10,10,1
13,1,0,0,4,2,1,10,10,10,2
13,1,0,0,4,2,1,10,10,10,3
13,1,0,0,4,2,1,10,10,10,1
13,1,0,0,4,2,1,10,10,10,1
13,1,0,1,4,2,1,10,10,10,1
13,1,0,1,4,2,1,10,10,10,0
13,1,1,0,4,2,1,10,10,10,3
13,1,1,0,4,2,1,10,10,10,4
13,1,1,0,4,2,1,10,10,10,4
