"iid","gender","department","level","sentiment","intention"
"dad26b9ee392cb7197bc7df941b92e2b","M","IT","High",3,8
"0fa80c4c486e1d22ef1ae51373c21e56","F","Finance","Low",8,4
"e122762138e5e1b1c9cd09d1f3935c13","M","HR","Medium",7,7
"f67f76e945aa8ce99454c66c47b78c87","M","Finance","Low",8,4
"bd3276714f5f60d356309f1533a24920","M","Finance","High",7,6
"e8edf7a19afb5841a8e6997e467dbfbf","F","R&D","Medium",6,10
"813f1f5bd1b472374e763da70ed5a098","M","HR","Medium",8,2
"7eb52d222c0eab884a5c06bce601b044","M","Finance","Low",7,9
"b0f5468f305c719192575909563e7ea6","M","IT","High",7,6
"f10adcf3b072eab6c7486c40ec63952b","M","Strategy & Operations","Low",7,4
"aa95e2c7100ed9921cb69bf13ae7dcc9","F","HR","Medium",8,3
"86d665dc11c92142b46db64260223cbe","F","Finance","Medium",8,9
"27766e11287531c9385c79305f13d6ee","F","HR","Low",4,4
"06494146f3ddf1689a80379437e3e768","M","R&D","Medium",7,2
"a062e1102c9a3ab6c0e162c3e67fa1aa","M","Finance","Low",7,4
"12394413aae854696715503924434cd8","F","Finance","Medium",7,2
"6ef118c83410e340719ac4d2c6254358","M","HR","Low",8,4
"1b5e10a45a2cd9eedf26714067649799","F","Finance","Low",7,3
"471c08640258fb1ff207844cee1e586d","M","HR","Medium",8,4
"1d4b46debead42f5b85420f2e2d4cd59","M","Finance","High",7,4
"0e8d68cd73c293a8eeb25582c0fdc74a","M","Finance","Low",10,4
"cf7f9c74287be64b681285c7a2577389","M","HR","Low",10,3
"9262b0e10ae99a7333e609b3855d5a01","F","Sales/Marketing","Medium",10,4
"6f2257660c8054de00d09e651357ff27","F","Finance","Medium",8,4
"5eb3bfcc2af6b3f76734fce412a4d920","M","IT","Low",8,2
"537fa17417a4c3ae4789b5dcadf33908","M","HR","Medium",6,6
"6e978a5f5d6a74310c8e729c089aa80b","M","Finance","High",8,6
"50e51942389e4628cf8a840b26f5f712","M","IT","Low",4,5
"e2054625c38d42ae820ab5e3ee08273a","M","HR","High",7,2
"00b302fe3a99951bee9f000cc0204adb","M","Sales/Marketing","Low",10,5
"f8058a477a0247ffe395705d306a31a8","M","IT","Low",8,6
"dc6b2459b0a577fd1145926bd22ca391","M","Finance","Low",7,2
"d4e99c7206b9cf031bd5c6c3286d0d94","M","Finance","High",8,7
"8170a02ff91942c3711b4f519322f1dc","F","Strategy & Operations","Medium",6,5
"650610f17480bb48833ee56930051a6e","M","HR","Low",7,9
"6c95af8c1d249f5706af2ba64753f013","M","Sales/Marketing","Low",7,3
"9877600e25f93d20f9186be54a657107","F","Finance","Low",8,7
"1349fbc6e5d5688f0ac2037a90019e51","F","HR","Low",10,2
"a7d80f56d4c852720b09cb23b375eebd","M","R&D","Low",9,3
"c376c62990d8b56c77844f5369f700fe","M","IT","High",10,3
"be7bc6f101c1aa3508ed4e8768d2aad4","F","Strategy & Operations","Low",8,2
"5b4642439d0cfdc234d1294fcf918a14","M","Finance","Low",9,3
"f6be805ce67338eb40a3274c64d7799e","M","HR","Low",8,4
"f8b4f38236aba307dac1e4e58cde5f27","M","Finance","Low",7,3
"9312cfd980acc0908d0506d2be82d947","M","Finance","Medium",8,3
"68448fe0f99b03cffb8115e76a5d6d12","M","HR","Low",7,4
"8485b81d568eaccb0e96c7e717a63167","M","Finance","Low",10,3
"783ec7bc24b5389259117598e7fbe542","F","HR","Low",8,3
"ff1422f9472a20fdb9954792bdd936f1","M","HR","Medium",5,8
"9218e7cd990ee5081b714b2880a83d10","F","HR","High",9,7
"44601466da7fdca73d532a1b76a4170c","M","HR","Low",6,3
"d81236a760fc0d5df3ec349b2f3652e5","M","Finance","Low",7,6
"a7e3a52eaab029601f469c3b2d7f140e","M","IT","Low",9,2
"4d49cf46c067f4ed0737572f3b3a9b44","M","Finance","Medium",7,4
"c6a71349f7c0482c114f57afd22e803b","M","IT","Low",7,3
"13ef3ac90e1773c35dad6327bcb0cff1","M","Finance","Low",8,4
"ac9fa7596ce269da2853400871feee2d","M","Finance","Low",7,4
"0ffa41338d193559abc412feda040734","F","IT","Low",7,4
"98692aa9d33b98c32830953d36a02694","M","HR","Low",7,4
"5305b408ff3b579153f8a5bf42fa0f98","F","Sales/Marketing","Low",10,6
"721273f09b3adeb01230a3592fade169","M","HR","Medium",10,1
"d9cd58b40589f8a935ecbc3f117c30db","M","IT","Medium",8,3
"177edd825ea005ee2c320e6065b78641","M","Finance","Medium",8,4
"2e42f5f1f993163e535c48afedeb224e","M","HR","Medium",8,6
"9cbe36dbb21d0039f4ab76eb07e0caeb","M","HR","Low",8,3
"8473a206642e484da20386535daf363c","M","Finance","Medium",7,4
"dfd80f832a9fe571ba9fcf66f4aa0073","M","HR","Low",7,2
"fcca75f0336b054733bd8b716e092d5d","F","HR","Low",10,3
"aafd574b288abb10612ef001cbd29bde","M","HR","Low",8,1
"7d3061234fdc11bc3ee6112edba8043c","M","HR","Medium",8,8
"45fb7962d3a6501fc7abf3df5f5368a8","M","Finance","Low",4,4
"a6a9a5706c46d1a42fe5d8d3a2eb2a42","M","HR","Low",8,7
"70bb1dd0e6c5e1fc3a20e46a8c249ae3","M","Finance","Low",3,7
"c076e9cec50c9e84e36c3bb4492b6f8c","F","HR","Low",6,7
"3175dad8996cb026700e2944d3714c9a","F","HR","Low",7,5
"5324aa0fc450c05e7c3428d4c220da7a","M","Finance","Low",8,5
"9f81c1c14c27e6687c7078e88c39d693","M","HR","Medium",8,5
"4995c747bab348a19992e8f8813303fb","M","IT","Low",8,4
"bf21c6b49fcaae60c18be840792b30f5","F","HR","Low",8,2
"9958bbd0a73dd963fbd584f2111aeead","M","HR","High",10,4
"32f682cba204bf68806223baf2742c70","M","R&D","Low",8,4
"af1d5504a6f37776aab949e8c7713a90","M","Finance","Medium",7,1
"4a320244b55b8f11e636d1b70e53a018","M","Finance","Medium",8,8
"635e60f3a60a695025fc44eeacb6ed06","M","Sales/Marketing","High",8,5
"85270eb882c006e1018e770249899c23","M","Sales/Marketing","Low",8,3
"eca95f0f01c219d1526539bb92c4bb2f","M","R&D","High",8,3
"ca16d44dc686edaa260a4c92c987299a","F","HR","Low",1,10
"2b9566fdf1fa62fc41e7d96c290f12ce","M","HR","Low",7,7
"19079eeb831e93de98dcbae52de3c2f3","F","Finance","Low",9,4
"7832cbce5fbf8dfe1de33f1b20a6d8a3","F","HR","Low",10,3
"6f21fa8601165182ba95378c375e4d6f","M","Sales/Marketing","Medium",8,9
"e6e58a65e41ab7bc799bbb5dd9139b5e","M","Sales/Marketing","Low",7,2
"eabdc225a14fb06791304f406183aede","F","Finance","Low",8,3
"fd1ec16051954c352d28a307b7f2329a","M","HR","Medium",10,3
"6d843f937d336f4cfebf48d3245100aa","M","Sales/Marketing","Medium",9,3
"77814cc5095847378f66cd7ba5d58bb0","M","HR","Medium",7,4
"b7f1ea5caa1014ce9c8a64edcb804ee3","M","HR","High",8,3
"a8b763f485d4a1815e2e98f9f265a213","M","Finance","High",8,1
"a754f73c0bbc80248c72df702c86900d","M","HR","Low",8,4
"9ac132f889ac43297b1e04ee1433d195","F","HR","Low",9,5
"9d968e7256c658e385c2ed65c3f36d11","M","HR","Low",8,9
"62ea37f118291c99dc79cf9d3fe371ba","M","Finance","Low",10,1
"37566a56adda4191acf6c96b77d536a2","M","Finance","High",10,2
"6cd70332a2ac774c5a45a23cfd1af1c5","M","HR","Medium",8,7
"4c421ed6bab70aa7c35c0724114e5272","M","HR","Medium",7,8
"1061456637b8a99e284ead6013f2de18","M","IT","High",9,1
"0e922ccdab1fb84e6a1aba591ce3e889","M","Strategy & Operations","Low",7,2
"b86aeb77a3580916d91a895ab5294e10","M","HR","Low",9,1
"c1a3b2f8815000f3e62acd4c505903e0","M","Finance","Low",8,3
"cdee0dceabe13e77f4f700d2b7cb714f","F","Sales/Marketing","Low",10,7
"3b9fee4c7af349b773bf52902a978abc","M","HR","Medium",7,4
"bbe2323159ebca36dd40f545b07e2714","F","Finance","Low",7,5
"982c06773ff0ad66f57dab8730fae36a","M","HR","Low",7,6
"664adf06d569668cc3a5ce19fbe8ee03","M","Strategy & Operations","Medium",8,7
"ea0d2d0186fc81c72180a38138cdddb9","F","HR","Low",7,2
"2126a529f20f7ab1f7fd859c35eb367d","F","R&D","Low",7,2
"8dc62a39e36d5ebe292b1bfa2f8f2da4","M","Strategy & Operations","High",10,5
"e8717ba0f730cf598d815d057dd6b043","M","Finance","Low",10,3
"0ad97bbb6a3e7e1e280f7f3ca9c748cd","F","HR","Medium",10,2
"c7ef1c6004be0b130de2ad6c2ddc1aba","M","HR","Low",7,5
"3dee13e910bd854ec154671ce08327eb","F","IT","Low",7,3
"f16f4ba12f8b0da8e1c21be9d321b838","M","HR","Low",7,4
"b1ca5d958ba367fb4476a8c37aa98458","F","IT","Low",2,4
"fb28f6cf5b0ffd11dfc1b2878a951f86","F","IT","Low",5,7
"79fe6e2ad1215a44908dc545f2da68f5","M","Sales/Marketing","Low",8,5
"f0d395ac7dd1391631a3f12f24527eb2","M","R&D","Low",10,3
"60f26c52cb19d0de3974a53d61e50798","F","HR","Low",8,3
"f39d79fc3659f64c7cf0ffb1866af402","M","HR","High",9,3
"38a192b1d3fd88c175b664660399d9a4","M","Finance","Low",9,5
"c85a9cd995189d8dc5cd61ecdd41e528","F","Finance","High",8,5
"e434bf4c3c4c8f5e403a83688cdb5f57","M","R&D","Low",7,8
"a173b9bc8c6fc3a30e52edb1e153678b","F","Sales/Marketing","Low",8,8
"2aaeb0709a82224501810a02d139a5e7","M","Finance","Medium",10,7
"ae30761e49699e9ed212c95e1cd1dcb4","M","Finance","Low",8,3
"b5a5e76b6136bf286c5eb11ff1f061e8","M","Finance","Low",8,3
"9f22da74a0aaffb412b908986b8d73a4","M","HR","Medium",8,2
"2746baa8eefc66936633c99e1b845e17","M","HR","Low",7,3
"4a68dc2d1ee230dd7780fbc58e6e9327","F","Finance","Low",7,4
"cc34d0f3072931f2c57ec82404472c80","M","IT","Low",7,5
